# frame +z -z 
455 73 137 
456 73 137 
457 73 137 
458 73 137 
459 73 137 
460 74 137 
461 75 137 
462 77 139 
463 77 139 
464 77 139 
465 78 140 
466 78 141 
467 78 142 
468 78 142 
469 78 142 
470 78 142 
471 79 144 
472 79 144 
473 79 144 
474 79 146 
475 79 148 
476 79 148 
477 79 148 
478 79 148 
479 79 148 
480 79 148 
481 79 149 
482 80 149 
483 81 149 
484 81 150 
485 81 151 
486 81 152 
487 83 152 
488 83 153 
489 85 154 
490 86 154 
491 88 154 
492 88 154 
493 88 154 
494 89 154 
495 89 154 
496 89 154 
497 89 154 
498 89 154 
499 89 154 
500 89 154 
501 90 154 
502 92 154 
503 92 154 
504 93 154 
505 94 154 
506 95 154 
507 97 154 
508 98 154 
509 100 154 
510 100 154 
511 100 154 
512 101 154 
513 101 154 
514 101 154 
515 102 154 
516 104 154 
517 104 154 
518 105 154 
519 105 154 
520 105 154 
521 105 154 
522 105 154 
523 106 154 
524 106 155 
525 107 156 
526 107 157 
527 108 157 
528 110 157 
529 111 158 
530 111 158 
531 111 158 
532 111 158 
533 111 159 
534 111 161 
535 111 161 
536 111 162 
537 111 163 
538 111 163 
539 111 163 
540 111 163 
541 111 163 
542 111 163 
543 111 163 
544 112 164 
545 112 164 
546 114 164 
547 114 164 
548 114 165 
549 115 165 
550 115 165 
551 118 165 
552 120 165 
553 123 165 
554 125 165 
555 125 165 
556 126 165 
557 126 165 
558 126 165 
559 126 165 
560 126 165 
561 126 165 
562 126 165 
563 126 165 
564 126 165 
565 126 165 
566 126 165 
567 126 165 
568 126 165 
569 126 165 
570 126 165 
571 126 165 
572 126 167 
573 126 167 
574 126 167 
575 127 167 
576 127 167 
577 127 167 
578 127 167 
579 127 167 
580 127 167 
581 127 167 
582 127 167 
583 127 167 
584 127 167 
585 127 168 
586 127 169 
587 127 170 
588 127 170 
589 127 170 
590 127 171 
591 127 171 
592 127 171 
593 127 171 
594 127 171 
595 127 171 
596 127 171 
597 127 171 
598 127 171 
599 127 171 
600 127 171 
601 127 171 
602 127 171 
603 127 172 
604 127 172 
605 127 173 
606 127 175 
607 127 178 
608 127 178 
609 129 178 
610 129 178 
611 129 178 
612 129 178 
