# step Etot Epot T p 
560000 -4236.4053 -5195.6893 304.7561 -429.0188 
565000 -4241.3863 -5215.7106 309.5343 69.9223 
570000 -4275.7546 -5212.9532 297.7398 -182.227 
575000 -4204.7118 -5168.2057 306.0936 171.0659 
580000 -4272.3358 -5204.1691 296.0353 -556.09 
585000 -4334.3956 -5250.6122 291.074 -22.4742 
590000 -4281.5285 -5279.4467 317.0299 -603.6997 
595000 -4298.9931 -5222.8673 293.5067 -608.713 
600000 -4244.3388 -5196.9502 302.6363 -495.9428 
605000 -4263.7258 -5188.5445 293.8068 -269.5272 
610000 -4282.1483 -5227.7536 300.4105 25.6974 
615000 -4260.23 -5208.0365 301.1098 -36.6151 
620000 -4325.9179 -5284.9908 304.689 532.0195 
625000 -4235.9864 -5195.9189 304.9621 -380.5728 
630000 -4223.5104 -5142.2402 291.8724 -94.4915 
635000 -4225.1486 -5195.3466 308.2234 -152.0837 
640000 -4232.5105 -5204.7314 308.866 54.6671 
645000 -4292.8647 -5191.8116 285.5875 440.1901 
650000 -4318.9725 -5231.5496 289.9178 -7.0563 
655000 -4265.3214 -5231.8396 307.0543 88.3837 
660000 -4234.5371 -5153.3357 291.8943 37.0437 
665000 -4242.2133 -5197.8277 303.5903 -334.934 
670000 -4297.2516 -5235.8394 298.1811 12.5554 
675000 -4206.9192 -5189.3947 312.1238 -251.7714 
680000 -4291.0444 -5213.0698 292.9194 -53.8778 
685000 -4242.1034 -5193.7203 302.3203 -309.1783 
690000 -4217.7006 -5208.2044 314.6744 -175.6885 
695000 -4280.4359 -5232.6445 302.5083 108.7048 
700000 -4309.239 -5190.073 279.8332 129.9054 
705000 -4161.3385 -5150.8448 314.3575 -235.0213 
710000 -4202.3495 -5157.7732 303.5297 -965.235 
715000 -4327.6079 -5252.0606 293.6905 -811.5755 
720000 -4213.5616 -5200.0709 313.4053 7.4854 
725000 -4253.4322 -5207.7847 303.1894 -205.21 
730000 -4271.4278 -5222.307 302.086 -278.9333 
735000 -4234.5753 -5177.6417 299.6039 190.334 
740000 -4264.2348 -5189.3572 293.9033 -298.4725 
745000 -4272.4007 -5201.4829 295.1613 -159.7148 
750000 -4262.9611 -5234.6611 308.7006 -508.8915 
755000 -4322.9019 -5254.5584 295.9791 65.1434 
760000 -4297.5803 -5241.0421 299.7295 49.6841 
765000 -4274.7183 -5203.5446 295.0799 -294.38 
770000 -4269.5799 -5220.1553 301.9895 -11.8545 
