# time(ps) Nwater Force (pN) Pressure Dif (atm) 
1 166 11535.838 24856.749495528136
2 176 12230.768 26354.14404345152
3 176 12230.768 26354.14404345152
4 182 12647.725999999999 27252.580772205547
5 191 13273.162999999999 28600.235865336588
6 188 13064.684 28151.017500959577
7 183 12717.219 27402.320226997883
8 183 12717.219 27402.320226997883
9 184 12786.712 27552.059681790226
10 189 13134.177 28300.756955751913
11 188 13064.684 28151.017500959577
12 188 13064.684 28151.017500959577
13 184 12786.712 27552.059681790226
14 193 13412.149 28899.714774921267
15 191 13273.162999999999 28600.235865336588
16 190 13203.669999999998 28450.496410544252
17 192 13342.655999999999 28749.975320128928
18 188 13064.684 28151.017500959577
19 187 12995.190999999999 28001.278046167237
20 192 13342.655999999999 28749.975320128928
21 187 12995.190999999999 28001.278046167237
22 185 12856.205 27701.799136582562
23 189 13134.177 28300.756955751913
24 192 13342.655999999999 28749.975320128928
25 189 13134.177 28300.756955751913
26 188 13064.684 28151.017500959577
27 186 12925.697999999999 27851.538591374898
28 189 13134.177 28300.756955751913
29 188 13064.684 28151.017500959577
30 190 13203.669999999998 28450.496410544252
31 191 13273.162999999999 28600.235865336588
32 195 13551.134999999998 29199.19368450594
33 190 13203.669999999998 28450.496410544252
34 193 13412.149 28899.714774921267
35 189 13134.177 28300.756955751913
36 186 12925.697999999999 27851.538591374898
37 183 12717.219 27402.320226997883
38 189 13134.177 28300.756955751913
39 188 13064.684 28151.017500959577
40 193 13412.149 28899.714774921267
41 195 13551.134999999998 29199.19368450594
42 194 13481.642 29049.454229713607
43 194 13481.642 29049.454229713607
44 187 12995.190999999999 28001.278046167237
45 192 13342.655999999999 28749.975320128928
46 183 12717.219 27402.320226997883
47 189 13134.177 28300.756955751913
48 193 13412.149 28899.714774921267
49 195 13551.134999999998 29199.19368450594
50 193 13412.149 28899.714774921267
51 181 12578.232999999998 27102.841317413207
52 183 12717.219 27402.320226997883
53 184 12786.712 27552.059681790226
54 187 12995.190999999999 28001.278046167237
55 186 12925.697999999999 27851.538591374898
56 188 13064.684 28151.017500959577
57 186 12925.697999999999 27851.538591374898
58 185 12856.205 27701.799136582562
59 186 12925.697999999999 27851.538591374898
60 189 13134.177 28300.756955751913
61 189 13134.177 28300.756955751913
62 186 12925.697999999999 27851.538591374898
63 189 13134.177 28300.756955751913
64 192 13342.655999999999 28749.975320128928
65 195 13551.134999999998 29199.19368450594
66 190 13203.669999999998 28450.496410544252
67 188 13064.684 28151.017500959577
68 193 13412.149 28899.714774921267
69 189 13134.177 28300.756955751913
70 190 13203.669999999998 28450.496410544252
71 189 13134.177 28300.756955751913
72 183 12717.219 27402.320226997883
73 192 13342.655999999999 28749.975320128928
74 194 13481.642 29049.454229713607
75 192 13342.655999999999 28749.975320128928
76 191 13273.162999999999 28600.235865336588
77 191 13273.162999999999 28600.235865336588
78 189 13134.177 28300.756955751913
79 188 13064.684 28151.017500959577
80 195 13551.134999999998 29199.19368450594
81 189 13134.177 28300.756955751913
82 188 13064.684 28151.017500959577
83 191 13273.162999999999 28600.235865336588
84 200 13898.599999999999 29947.890958467633
85 191 13273.162999999999 28600.235865336588
86 191 13273.162999999999 28600.235865336588
87 186 12925.697999999999 27851.538591374898
88 190 13203.669999999998 28450.496410544252
89 186 12925.697999999999 27851.538591374898
90 178 12369.753999999999 26653.622953036196
91 183 12717.219 27402.320226997883
92 191 13273.162999999999 28600.235865336588
93 188 13064.684 28151.017500959577
94 189 13134.177 28300.756955751913
95 189 13134.177 28300.756955751913
96 186 12925.697999999999 27851.538591374898
97 185 12856.205 27701.799136582562
98 188 13064.684 28151.017500959577
99 182 12647.725999999999 27252.580772205547
100 184 12786.712 27552.059681790226
101 185 12856.205 27701.799136582562
102 188 13064.684 28151.017500959577
103 193 13412.149 28899.714774921267
104 191 13273.162999999999 28600.235865336588
105 192 13342.655999999999 28749.975320128928
106 187 12995.190999999999 28001.278046167237
107 187 12995.190999999999 28001.278046167237
108 190 13203.669999999998 28450.496410544252
109 190 13203.669999999998 28450.496410544252
110 186 12925.697999999999 27851.538591374898
111 191 13273.162999999999 28600.235865336588
112 186 12925.697999999999 27851.538591374898
113 185 12856.205 27701.799136582562
114 189 13134.177 28300.756955751913
115 187 12995.190999999999 28001.278046167237
116 187 12995.190999999999 28001.278046167237
117 183 12717.219 27402.320226997883
118 189 13134.177 28300.756955751913
119 188 13064.684 28151.017500959577
120 183 12717.219 27402.320226997883
121 191 13273.162999999999 28600.235865336588
122 186 12925.697999999999 27851.538591374898
123 185 12856.205 27701.799136582562
124 182 12647.725999999999 27252.580772205547
125 184 12786.712 27552.059681790226
126 179 12439.247 26803.362407828532
127 186 12925.697999999999 27851.538591374898
128 179 12439.247 26803.362407828532
129 174 12091.782 26054.66513386684
130 177 12300.260999999999 26503.883498243853
131 176 12230.768 26354.14404345152
132 175 12161.275 26204.40458865918
133 175 12161.275 26204.40458865918
134 172 11952.795999999998 25755.186224282163
135 172 11952.795999999998 25755.186224282163
136 173 12022.288999999999 25904.925679074502
137 167 11605.330999999998 25006.488950320472
138 163 11327.358999999999 24407.531131151118
139 162 11257.866 24257.791676358785
140 162 11257.866 24257.791676358785
141 163 11327.358999999999 24407.531131151118
142 158 10979.893999999998 23658.83385718943
143 154 10701.921999999999 23059.876038020077
144 156 10840.908 23359.354947604756
145 150 10423.949999999999 22460.918218850726
146 155 10771.414999999999 23209.615492812416
147 151 10493.443 22610.65767364306
148 152 10562.936 22760.397128435405
149 152 10562.936 22760.397128435405
150 147 10215.471 22011.69985447371
